full_name,language,count,percentage
StackStorm/st2,Python,6605391.0,94.34697262699986
activepapers/activepapers-python,Python,136352.0,99.96114511931381
yadage/adage,Python,42029.0,100.0
markovmodel/adaptivemd,Python,602610.0,99.34108904117493
ornladios/ADIOS2,Python,265066.0,2.777135470454812
aiidateam/aiida-core,Python,6550278.0,99.77006641205817
apache/airavata,Python,650611.0,1.3054687420365947
apache/airflow,Python,27710902.0,95.27280726164884
alibaba/Alink,Python,2251570.0,7.597227912889583
amundsen-io/amundsen,Python,3816609.0,67.45742694515398
biobakery/anadama2,Python,378440.0,100.0
intel-analytics/analytics-zoo,Python,4085993.0,12.452251051464271
artefactual/archivematica,Python,4073889.0,86.23998655347765
argoproj/argo-workflows,Python,6823.0,0.15548048780265486
arteria-project/arteria-packs,Python,15707.0,70.62182455824828
artigraph/artigraph,Python,381928.0,98.75805146212741
arvados/arvados,Python,1843046.0,18.642543163794272
MG-RAST/AWE,Python,26562.0,1.721275462395944
facebook/Ax,Python,4929098.0,72.79453843583022
azkaban/azkaban,Python,5024.0,0.07289544509387101
argonne-lcf/balsam,Python,826185.0,64.54489631379607
biorack/BASTet,Python,1494606.0,6.970641246983295
bcbio/bcbio-nextgen,Python,2579361.0,99.03763786632366
apache/beam,Python,11460277.0,16.841989598133093
bentoml/BentoML,Python,1947495.0,94.84541253842528
ccwang002/biocloud-server-kai,Python,162060.0,77.29104566591153
BioDepot/BioDepot-workflow-builder,Python,6807711.0,78.52346322551355
genouest/biomaj,Python,235068.0,94.40519841445146
biopet/biopet,Python,41666.0,1.3686764085137415
liyao001/BioQueue,Python,354701.0,43.298990466192215
mmondelli/bioworkbench,Python,18291.0,0.047388377326204274
python-bonobo/bonobo,Python,320439.0,92.07620361191327
bloomreach/briefly,Python,113079.0,97.47097308060304
yakneens/butler,Python,283160.0,80.99449663047334
cooperative-computing-lab/cctools,Python,1589590.0,11.946317289299223
cgat-developers/cgat-core,Python,468484.0,93.35381807240199
cgat-developers/ruffus,Python,1128471.0,99.22421115384412
chipster/chipster,Python,61167.0,1.0392467852194427
ckan/ckan,Python,3963461.0,71.92018531946414
claimed-framework/component-library,Python,30358.0,0.3917346795648259
Autodesk/cloud-compute-cannon,Python,2170.0,0.21095733801004038
CSCLabTW/CloudDOE,Python,1564.0,0.46518683319006926
CloudSlang/cloud-slang,Python,9681.0,0.2983705657020862
ewels/clusterflow,Python,15987.0,3.5539618883326365
monajemi/clusterjob,Python,5572.0,1.918098700154219
mlcommons/ck,Python,4123636.0,87.81655028101008
bsc-wdc/compss,Python,2769050.0,19.99219387153937
robdmc/consecution,Python,67312.0,98.95912966774478
Consonance/consonance,Python,28828.0,3.2758867553175772
cortexlabs/cortex,Python,183559.0,5.216590872791903
Mizzou-CBMI/COSMOS2,Python,251762.0,64.10039667788635
couler-proj/couler,Python,313322.0,89.7056213102457
AgnostiqHQ/covalent,Python,1320301.0,63.572560441555225
MelbourneGenomics/cpipe,Python,226549.0,40.69535382929612
broadinstitute/cromwell,Python,109346.0,1.0645298057344574
Kitware/cumulus,Python,853133.0,97.4689444719275
yuch7/cwlexec,Python,1966.0,0.15065053290901886
common-workflow-language/cwltool,Python,1140979.0,80.71652979032416
cylc/cylc-flow,Python,3570235.0,72.68204330180322
chanzuckerberg/czid-dag,Python,573232.0,98.65552350596512
chanzuckerberg/czid-workflows,Python,740193.0,67.37203788233901
d6t/d6tflow,Python,142926.0,99.69796106278643
thieman/dagobah,Python,121656.0,10.310136317602641
dagster-io/dagster,Python,15725415.0,81.15054450449341
ICRAR/daliuge,Python,1953354.0,74.6885958220967
dask/dask,Python,4758375.0,99.75223229914758
datahq/dataflows,Python,225117.0,87.38064185569891
datahub-project/datahub,Python,5653819.0,34.16997040341015
datajoint/datajoint-python,Python,523962.0,99.86258369339201
datalad/datalad,Python,4156437.0,98.65313232299665
datashim-io/datashim,Python,2080.0,0.8255999491938494
dbt-labs/dbt-core,Python,4038288.0,72.15909892971636
dspinellis/dgsh,Python,8479.0,1.1844958034846165
treasure-data/digdag,Python,16577.0,0.38427533372865064
dispel4py/dispel4py,Python,249016.0,99.05013444495711
pydoit/doit,Python,561919.0,99.9214027999808
ParkerLab/drmr,Python,69513.0,97.6347318004972
iterative/dvc,Python,2361314.0,99.99851779639519
frobnitzem/dwork,Python,558.0,0.6887613404925014
ecmwf/ecflow,Python,955085.0,7.065525324620898
LANL-Bioinformatics/EDGE,Python,230446.0,6.382530866283311
Ensembl/ensembl-hive,Python,61905.0,3.1958043871391393
joestubbs/endofday,Python,108222.0,98.65538711177152
radical-cybertools/radical.entk,Python,333316.0,99.97630438368901
enso-org/enso,Python,32532.0,0.171369810646684
GenomiqueENS/eoulsan,Python,3921.0,0.13048326729302628
jorvis/ergatis,Python,116985.0,1.571682126433454
materialsproject/fireworks,Python,670693.0,45.81981223723528
fission/fission-workflows,Python,2586.0,0.441333078477418
druths/xp,Python,122533.0,99.87529139429112
apache/flink,Python,3142328.0,2.8580827270008315
flyteorg/flyte,Python,68818.0,37.79858841622497
frictionlessdata/datapackage-pipelines,Python,191273.0,77.22149103329107
galaxyproject/galaxy,Python,15988732.0,60.894230520574986
broadinstitute/gatk,Python,603406.0,2.3128004258208836
gc3pie/gc3pie,Python,3387151.0,90.61699746058991
genepattern/genepattern-notebook,Python,58226.0,94.86460946919092
GiraffeTools/GiraffeTools,Python,50019.0,14.00135481631602
apache/giraph,Python,1706.0,0.026697201003476737
funcx-faas/funcX,Python,851879.0,98.78266697743562
apple/turicreate,Python,4005859.0,17.694351084978855
great-expectations/great_expectations,Python,17748687.0,95.06052027177644
gwforg/gwf,Python,148663.0,100.0
h2oai/h2o-3,Python,8410999.0,10.743906460072472
apache/hadoop,Python,21593.0,0.01970961393947727
HSF/harvester,Python,1982200.0,98.7288572465995
apache/hive,Python,384700.0,0.5341311691473174
apache/incubator-hivemall,Python,19904.0,0.46883288312437166
LightForm-group/hpcflow,Python,221946.0,7.793961791867445
hstreamdb/hstream,Python,97980.0,4.117846565456235
radical-cybertools/htbac,Python,41613.0,22.574047954866007
apache/hudi,Python,37551.0,0.16909667046489854
glentner/hyper-shell,Python,292288.0,99.81831842087288
WIPACrepo/iceprod,Python,1373137.0,90.89120091504341
MolecularAI/Icolos,Python,1477414.0,100.0
PMCC-BioinformaticsCore/janis,Python,31580.0,72.96841424247326
RUBi-ZA/JMS,Python,277514.0,1.1586957777043023
materialsproject/jobflow,Python,322669.0,100.0
joblib/joblib,Python,660558.0,99.04487440923158
jtracker-io/jt-cli,Python,82093.0,98.96446137525315
ncbi/JUDI,Python,45574.0,99.66540555907888
luispedro/jug,Python,270276.0,91.50607386140491
alpha-unito/jupyter-workflow,Python,140527.0,63.543173925625815
influxdata/kapacitor,Python,58418.0,1.4056293992088071
kedro-org/kedro,Python,1860053.0,98.55875179427454
